datum,temperatura,leto,mesec
2011-05-01,14.3,2011,5
2011-05-02,15.4,2011,5
2011-05-03,15.2,2011,5
2011-05-04,13.9,2011,5
2011-05-05,13.8,2011,5
2011-05-06,13.8,2011,5
2011-05-07,15.2,2011,5
2011-05-08,15.5,2011,5
2011-05-09,15.7,2011,5
2011-05-10,17.9,2011,5
2011-05-11,18.6,2011,5
2011-05-12,18.9,2011,5
2011-05-13,19.5,2011,5
2011-05-14,19.0,2011,5
2011-05-15,14.5,2011,5
2011-05-16,13.9,2011,5
2011-05-17,15.5,2011,5
2011-05-18,18.1,2011,5
2011-05-19,17.7,2011,5
2011-05-20,18.7,2011,5
2011-05-21,19.7,2011,5
2011-05-22,20.0,2011,5
2011-05-23,21.1,2011,5
2011-05-24,22.1,2011,5
2011-05-25,22.5,2011,5
2011-05-26,21.6,2011,5
2011-05-27,21.2,2011,5
2011-05-28,17.2,2011,5
2011-05-29,18.4,2011,5
2011-05-30,19.9,2011,5
2011-05-31,19.5,2011,5
