datum,temperatura,leto,mesec
2021-03-01,9.0,2021,3
2021-03-02,9.7,2021,3
2021-03-03,7.2,2021,3
2021-03-04,7.6,2021,3
2021-03-05,8.7,2021,3
2021-03-06,4.9,2021,3
2021-03-07,3.9,2021,3
2021-03-08,4.6,2021,3
2021-03-09,7.1,2021,3
2021-03-10,7.0,2021,3
2021-03-11,7.4,2021,3
2021-03-12,9.4,2021,3
2021-03-13,9.0,2021,3
2021-03-14,7.0,2021,3
2021-03-15,5.1,2021,3
2021-03-16,6.6,2021,3
2021-03-17,5.1,2021,3
2021-03-18,4.6,2021,3
2021-03-19,3.3,2021,3
2021-03-20,4.4,2021,3
2021-03-21,4.0,2021,3
2021-03-22,6.1,2021,3
2021-03-23,7.0,2021,3
2021-03-24,7.8,2021,3
2021-03-25,8.1,2021,3
2021-03-26,9.0,2021,3
2021-03-27,10.0,2021,3
2021-03-28,11.5,2021,3
2021-03-29,12.2,2021,3
2021-03-30,13.8,2021,3
2021-03-31,15.5,2021,3
