datum,temperatura,leto,mesec
2001-04-01,9.3,2001,4
2001-04-02,9.9,2001,4
2001-04-03,12.0,2001,4
2001-04-04,13.1,2001,4
2001-04-05,8.9,2001,4
2001-04-06,9.1,2001,4
2001-04-07,10.6,2001,4
2001-04-08,8.5,2001,4
2001-04-09,9.4,2001,4
2001-04-10,8.8,2001,4
2001-04-11,7.5,2001,4
2001-04-12,10.0,2001,4
2001-04-13,6.1,2001,4
2001-04-14,3.4,2001,4
2001-04-15,4.4,2001,4
2001-04-16,5.8,2001,4
2001-04-17,6.6,2001,4
2001-04-18,7.9,2001,4
2001-04-19,9.1,2001,4
2001-04-20,8.5,2001,4
2001-04-21,8.6,2001,4
2001-04-22,8.4,2001,4
2001-04-23,10.3,2001,4
2001-04-24,12.4,2001,4
2001-04-25,14.4,2001,4
2001-04-26,11.1,2001,4
2001-04-27,10.9,2001,4
2001-04-28,13.4,2001,4
2001-04-29,15.2,2001,4
2001-04-30,17.4,2001,4
