,time,temperatura_avg
3668,1971-10-17,
3669,1971-10-18,
3670,1971-10-19,
3671,1971-10-20,
3672,1971-10-21,
3673,1971-10-22,
3674,1971-10-23,
3675,1971-10-24,
3676,1971-10-25,
3677,1971-10-26,
3678,1971-10-27,
3679,1971-10-28,
3680,1971-10-29,
3681,1971-10-30,
3682,1971-10-31,
3683,1971-11-01,
3684,1971-11-02,
3685,1971-11-03,
3686,1971-11-04,
3687,1971-11-05,
3688,1971-11-06,
3689,1971-11-07,
3690,1971-11-08,
3691,1971-11-09,
3692,1971-11-10,
3693,1971-11-11,
3694,1971-11-12,
3695,1971-11-13,
3696,1971-11-14,
3697,1971-11-15,
3698,1971-11-16,
3699,1971-11-17,
3700,1971-11-18,
3701,1971-11-19,
3702,1971-11-20,
3703,1971-11-21,
3704,1971-11-22,
3705,1971-11-23,
3706,1971-11-24,
3707,1971-11-25,
3708,1971-11-26,
3709,1971-11-27,
3710,1971-11-28,
3711,1971-11-29,
3712,1971-11-30,
3713,1971-12-01,
3714,1971-12-02,
3715,1971-12-03,
3716,1971-12-04,
3717,1971-12-05,
3718,1971-12-06,
3719,1971-12-07,
3720,1971-12-08,
3721,1971-12-09,
3722,1971-12-10,
3723,1971-12-11,
3724,1971-12-12,
3725,1971-12-13,
3726,1971-12-14,
3727,1971-12-15,
3728,1971-12-16,
3729,1971-12-17,
3730,1971-12-18,
3731,1971-12-19,
3732,1971-12-20,
3733,1971-12-21,
3734,1971-12-22,
3735,1971-12-23,
3736,1971-12-24,
3737,1971-12-25,
3738,1971-12-26,
3739,1971-12-27,
3740,1971-12-28,
3741,1971-12-29,
3742,1971-12-30,
3743,1971-12-31,
