datum,temperatura,leto,mesec
2003-03-01,3.7,2003,3
2003-03-02,3.5,2003,3
2003-03-03,4.9,2003,3
2003-03-04,4.6,2003,3
2003-03-05,6.4,2003,3
2003-03-06,1.4,2003,3
2003-03-07,2.9,2003,3
2003-03-08,5.9,2003,3
2003-03-09,6.9,2003,3
2003-03-10,10.6,2003,3
2003-03-11,9.9,2003,3
2003-03-12,10.1,2003,3
2003-03-13,6.6,2003,3
2003-03-14,3.4,2003,3
2003-03-15,3.2,2003,3
2003-03-16,4.2,2003,3
2003-03-17,5.3,2003,3
2003-03-18,5.6,2003,3
2003-03-19,7.3,2003,3
2003-03-20,8.7,2003,3
2003-03-21,3.6,2003,3
2003-03-22,0.8,2003,3
2003-03-23,2.9,2003,3
2003-03-24,7.6,2003,3
2003-03-25,10.7,2003,3
2003-03-26,12.8,2003,3
2003-03-27,12.3,2003,3
2003-03-28,11.0,2003,3
2003-03-29,10.9,2003,3
2003-03-30,11.8,2003,3
2003-03-31,10.4,2003,3
