datum,temperatura,leto,mesec
2003-02-01,-2.8,2003,2
2003-02-02,-3.3,2003,2
2003-02-03,-1.8,2003,2
2003-02-04,0.5,2003,2
2003-02-05,0.6,2003,2
2003-02-06,-4.2,2003,2
2003-02-07,-5.9,2003,2
2003-02-08,-4.9,2003,2
2003-02-09,-1.8,2003,2
2003-02-10,-2.9,2003,2
2003-02-11,-2.9,2003,2
2003-02-12,-2.6,2003,2
2003-02-13,-6.2,2003,2
2003-02-14,-7.2,2003,2
2003-02-15,-7.4,2003,2
2003-02-16,-4.4,2003,2
2003-02-17,-2.9,2003,2
2003-02-18,-7.4,2003,2
2003-02-19,-5.6,2003,2
2003-02-20,-4.8,2003,2
2003-02-21,-1.2,2003,2
2003-02-22,-0.1,2003,2
2003-02-23,-1.8,2003,2
2003-02-24,-2.4,2003,2
2003-02-25,0.0,2003,2
2003-02-26,-0.2,2003,2
2003-02-27,1.3,2003,2
2003-02-28,3.5,2003,2
