datum,temperatura,leto,mesec
2016-12-01,1.9,2016,12
2016-12-02,3.0,2016,12
2016-12-03,2.5,2016,12
2016-12-04,0.8,2016,12
2016-12-05,1.2,2016,12
2016-12-06,1.4,2016,12
2016-12-07,-0.1,2016,12
2016-12-08,0.4,2016,12
2016-12-09,2.7,2016,12
2016-12-10,2.2,2016,12
2016-12-11,2.7,2016,12
2016-12-12,4.7,2016,12
2016-12-13,1.0,2016,12
2016-12-14,2.0,2016,12
2016-12-15,2.2,2016,12
2016-12-16,1.1,2016,12
2016-12-17,1.0,2016,12
2016-12-18,1.1,2016,12
2016-12-19,-0.4,2016,12
2016-12-20,-1.2,2016,12
2016-12-21,-2.0,2016,12
2016-12-22,-1.5,2016,12
2016-12-23,-0.4,2016,12
2016-12-24,0.1,2016,12
2016-12-25,1.7,2016,12
2016-12-26,3.4,2016,12
2016-12-27,3.4,2016,12
2016-12-28,2.5,2016,12
2016-12-29,-0.0,2016,12
2016-12-30,-1.1,2016,12
2016-12-31,-1.3,2016,12
