datum,temperatura,leto,mesec
2002-05-01,16.0,2002,5
2002-05-02,18.0,2002,5
2002-05-03,18.4,2002,5
2002-05-04,18.1,2002,5
2002-05-05,15.0,2002,5
2002-05-06,13.9,2002,5
2002-05-07,14.8,2002,5
2002-05-08,16.6,2002,5
2002-05-09,16.2,2002,5
2002-05-10,16.9,2002,5
2002-05-11,17.2,2002,5
2002-05-12,17.1,2002,5
2002-05-13,16.0,2002,5
2002-05-14,17.0,2002,5
2002-05-15,17.5,2002,5
2002-05-16,18.0,2002,5
2002-05-17,20.1,2002,5
2002-05-18,21.0,2002,5
2002-05-19,18.7,2002,5
2002-05-20,16.3,2002,5
2002-05-21,16.7,2002,5
2002-05-22,17.9,2002,5
2002-05-23,20.2,2002,5
2002-05-24,19.6,2002,5
2002-05-25,18.9,2002,5
2002-05-26,16.2,2002,5
2002-05-27,17.3,2002,5
2002-05-28,15.6,2002,5
2002-05-29,17.6,2002,5
2002-05-30,17.7,2002,5
2002-05-31,17.1,2002,5
