datum,temperatura,leto,mesec
2024-04-01,17.0,2024,4
2024-04-02,11.9,2024,4
2024-04-03,9.7,2024,4
2024-04-04,13.1,2024,4
2024-04-05,14.1,2024,4
2024-04-06,16.4,2024,4
2024-04-07,17.5,2024,4
2024-04-08,18.5,2024,4
2024-04-09,18.8,2024,4
2024-04-10,14.3,2024,4
2024-04-11,13.9,2024,4
2024-04-12,15.5,2024,4
2024-04-13,17.1,2024,4
2024-04-14,19.0,2024,4
2024-04-15,18.8,2024,4
2024-04-16,8.1,2024,4
2024-04-17,6.7,2024,4
2024-04-18,6.8,2024,4
2024-04-19,7.4,2024,4
2024-04-20,8.4,2024,4
2024-04-21,7.0,2024,4
2024-04-22,5.8,2024,4
2024-04-23,5.3,2024,4
2024-04-24,6.2,2024,4
2024-04-25,5.7,2024,4
2024-04-26,8.2,2024,4
2024-04-27,11.7,2024,4
2024-04-28,15.3,2024,4
2024-04-29,16.6,2024,4
2024-04-30,16.5,2024,4
