datum,temperatura,leto,mesec
2002-04-01,10.5,2002,4
2002-04-02,11.0,2002,4
2002-04-03,10.8,2002,4
2002-04-04,9.4,2002,4
2002-04-05,8.5,2002,4
2002-04-06,5.4,2002,4
2002-04-07,4.9,2002,4
2002-04-08,5.9,2002,4
2002-04-09,3.9,2002,4
2002-04-10,4.1,2002,4
2002-04-11,6.1,2002,4
2002-04-12,6.6,2002,4
2002-04-13,9.3,2002,4
2002-04-14,10.6,2002,4
2002-04-15,9.3,2002,4
2002-04-16,9.2,2002,4
2002-04-17,10.2,2002,4
2002-04-18,10.2,2002,4
2002-04-19,11.7,2002,4
2002-04-20,11.1,2002,4
2002-04-21,12.7,2002,4
2002-04-22,13.9,2002,4
2002-04-23,12.9,2002,4
2002-04-24,11.7,2002,4
2002-04-25,12.1,2002,4
2002-04-26,13.7,2002,4
2002-04-27,9.8,2002,4
2002-04-28,9.6,2002,4
2002-04-29,12.9,2002,4
2002-04-30,13.5,2002,4
