datum,temperatura,leto,mesec
2009-09-01,18.9,2009,9
2009-09-02,19.7,2009,9
2009-09-03,19.7,2009,9
2009-09-04,18.0,2009,9
2009-09-05,15.0,2009,9
2009-09-06,14.1,2009,9
2009-09-07,14.6,2009,9
2009-09-08,14.8,2009,9
2009-09-09,15.6,2009,9
2009-09-10,16.4,2009,9
2009-09-11,15.9,2009,9
2009-09-12,16.5,2009,9
2009-09-13,15.2,2009,9
2009-09-14,13.4,2009,9
2009-09-15,15.2,2009,9
2009-09-16,15.3,2009,9
2009-09-17,17.1,2009,9
2009-09-18,16.8,2009,9
2009-09-19,17.5,2009,9
2009-09-20,17.7,2009,9
2009-09-21,17.3,2009,9
2009-09-22,17.0,2009,9
2009-09-23,17.2,2009,9
2009-09-24,17.1,2009,9
2009-09-25,16.6,2009,9
2009-09-26,15.0,2009,9
2009-09-27,14.5,2009,9
2009-09-28,15.6,2009,9
2009-09-29,16.1,2009,9
2009-09-30,15.9,2009,9
