datum,temperatura,leto,mesec
2004-11-01,12.8,2004,11
2004-11-02,13.2,2004,11
2004-11-03,12.7,2004,11
2004-11-04,12.5,2004,11
2004-11-05,10.9,2004,11
2004-11-06,8.6,2004,11
2004-11-07,5.6,2004,11
2004-11-08,3.7,2004,11
2004-11-09,4.8,2004,11
2004-11-10,1.6,2004,11
2004-11-11,4.6,2004,11
2004-11-12,7.1,2004,11
2004-11-13,6.5,2004,11
2004-11-14,4.1,2004,11
2004-11-15,3.5,2004,11
2004-11-16,2.6,2004,11
2004-11-17,4.1,2004,11
2004-11-18,4.1,2004,11
2004-11-19,6.6,2004,11
2004-11-20,2.4,2004,11
2004-11-21,1.9,2004,11
2004-11-22,1.6,2004,11
2004-11-23,4.0,2004,11
2004-11-24,3.3,2004,11
2004-11-25,0.3,2004,11
2004-11-26,1.6,2004,11
2004-11-27,3.2,2004,11
2004-11-28,2.9,2004,11
2004-11-29,5.9,2004,11
2004-11-30,4.2,2004,11
