datum,temperatura,leto,mesec
2014-10-01,15.1,2014,10
2014-10-02,15.6,2014,10
2014-10-03,14.2,2014,10
2014-10-04,13.1,2014,10
2014-10-05,13.8,2014,10
2014-10-06,12.6,2014,10
2014-10-07,14.3,2014,10
2014-10-08,17.1,2014,10
2014-10-09,18.9,2014,10
2014-10-10,19.0,2014,10
2014-10-11,18.4,2014,10
2014-10-12,17.8,2014,10
2014-10-13,19.7,2014,10
2014-10-14,18.9,2014,10
2014-10-15,16.3,2014,10
2014-10-16,17.1,2014,10
2014-10-17,16.3,2014,10
2014-10-18,14.2,2014,10
2014-10-19,14.4,2014,10
2014-10-20,15.1,2014,10
2014-10-21,15.0,2014,10
2014-10-22,10.0,2014,10
2014-10-23,7.7,2014,10
2014-10-24,8.2,2014,10
2014-10-25,8.0,2014,10
2014-10-26,8.0,2014,10
2014-10-27,8.3,2014,10
2014-10-28,7.4,2014,10
2014-10-29,5.7,2014,10
2014-10-30,7.4,2014,10
2014-10-31,9.3,2014,10
