datum,temperatura,leto,mesec
2011-07-01,17.9,2011,7
2011-07-02,15.5,2011,7
2011-07-03,17.6,2011,7
2011-07-04,20.8,2011,7
2011-07-05,19.4,2011,7
2011-07-06,21.1,2011,7
2011-07-07,23.1,2011,7
2011-07-08,23.9,2011,7
2011-07-09,25.8,2011,7
2011-07-10,26.2,2011,7
2011-07-11,25.0,2011,7
2011-07-12,23.9,2011,7
2011-07-13,28.0,2011,7
2011-07-14,26.3,2011,7
2011-07-15,20.0,2011,7
2011-07-16,21.7,2011,7
2011-07-17,23.3,2011,7
2011-07-18,21.5,2011,7
2011-07-19,20.7,2011,7
2011-07-20,19.4,2011,7
2011-07-21,19.9,2011,7
2011-07-22,20.3,2011,7
2011-07-23,17.7,2011,7
2011-07-24,14.5,2011,7
2011-07-25,14.9,2011,7
2011-07-26,17.1,2011,7
2011-07-27,19.2,2011,7
2011-07-28,17.9,2011,7
2011-07-29,18.6,2011,7
2011-07-30,19.4,2011,7
2011-07-31,19.0,2011,7
