datum,temperatura,leto,mesec
2019-12-01,2.8,2019,12
2019-12-02,3.3,2019,12
2019-12-03,1.7,2019,12
2019-12-04,0.4,2019,12
2019-12-05,-0.2,2019,12
2019-12-06,3.1,2019,12
2019-12-07,2.5,2019,12
2019-12-08,3.6,2019,12
2019-12-09,5.6,2019,12
2019-12-10,3.3,2019,12
2019-12-11,-0.9,2019,12
2019-12-12,-0.5,2019,12
2019-12-13,0.8,2019,12
2019-12-14,2.7,2019,12
2019-12-15,3.7,2019,12
2019-12-16,8.2,2019,12
2019-12-17,12.0,2019,12
2019-12-18,11.2,2019,12
2019-12-19,9.9,2019,12
2019-12-20,9.5,2019,12
2019-12-21,10.3,2019,12
2019-12-22,6.3,2019,12
2019-12-23,6.6,2019,12
2019-12-24,4.9,2019,12
2019-12-25,3.7,2019,12
2019-12-26,2.9,2019,12
2019-12-27,1.4,2019,12
2019-12-28,1.6,2019,12
2019-12-29,-0.6,2019,12
2019-12-30,-2.0,2019,12
2019-12-31,1.9,2019,12
