datum,temperatura,leto,mesec
2007-01-01,5.0,2007,1
2007-01-02,1.7,2007,1
2007-01-03,1.3,2007,1
2007-01-04,1.9,2007,1
2007-01-05,2.6,2007,1
2007-01-06,3.0,2007,1
2007-01-07,4.3,2007,1
2007-01-08,3.3,2007,1
2007-01-09,3.8,2007,1
2007-01-10,5.7,2007,1
2007-01-11,7.5,2007,1
2007-01-12,6.7,2007,1
2007-01-13,6.0,2007,1
2007-01-14,3.8,2007,1
2007-01-15,3.7,2007,1
2007-01-16,2.0,2007,1
2007-01-17,3.2,2007,1
2007-01-18,6.1,2007,1
2007-01-19,7.3,2007,1
2007-01-20,5.6,2007,1
2007-01-21,5.2,2007,1
2007-01-22,4.6,2007,1
2007-01-23,2.7,2007,1
2007-01-24,3.3,2007,1
2007-01-25,-0.1,2007,1
2007-01-26,-2.5,2007,1
2007-01-27,-1.2,2007,1
2007-01-28,1.3,2007,1
2007-01-29,4.1,2007,1
2007-01-30,4.4,2007,1
2007-01-31,2.7,2007,1
