datum,temperatura,leto,mesec
2007-12-01,2.1,2007,12
2007-12-02,3.4,2007,12
2007-12-03,7.4,2007,12
2007-12-04,0.3,2007,12
2007-12-05,2.1,2007,12
2007-12-06,1.7,2007,12
2007-12-07,3.9,2007,12
2007-12-08,4.6,2007,12
2007-12-09,2.4,2007,12
2007-12-10,2.6,2007,12
2007-12-11,2.7,2007,12
2007-12-12,3.7,2007,12
2007-12-13,3.1,2007,12
2007-12-14,-0.2,2007,12
2007-12-15,-1.6,2007,12
2007-12-16,-1.2,2007,12
2007-12-17,-2.1,2007,12
2007-12-18,-2.2,2007,12
2007-12-19,-2.8,2007,12
2007-12-20,-3.3,2007,12
2007-12-21,-4.8,2007,12
2007-12-22,-4.6,2007,12
2007-12-23,-4.0,2007,12
2007-12-24,-4.1,2007,12
2007-12-25,-4.2,2007,12
2007-12-26,-3.1,2007,12
2007-12-27,-2.8,2007,12
2007-12-28,-3.5,2007,12
2007-12-29,-3.6,2007,12
2007-12-30,-4.8,2007,12
2007-12-31,-3.6,2007,12
