,time,temperatura_avg
7459,1982-10-17,
7460,1982-10-18,
7461,1982-10-19,
7462,1982-10-20,
7463,1982-10-21,
7464,1982-10-22,
7465,1982-10-23,
7466,1982-10-24,
7467,1982-10-25,
7468,1982-10-26,
7469,1982-10-27,
7470,1982-10-28,
7471,1982-10-29,
7472,1982-10-30,
7473,1982-10-31,
7474,1982-11-01,
7475,1982-11-02,
7476,1982-11-03,
7477,1982-11-04,
7478,1982-11-05,
7479,1982-11-06,
7480,1982-11-07,
7481,1982-11-08,
7482,1982-11-09,
7483,1982-11-10,
7484,1982-11-11,
7485,1982-11-12,
7486,1982-11-13,
7487,1982-11-14,
7488,1982-11-15,
7489,1982-11-16,
7490,1982-11-17,
7491,1982-11-18,
7492,1982-11-19,
7493,1982-11-20,
7494,1982-11-21,
7495,1982-11-22,
7496,1982-11-23,
7497,1982-11-24,
7498,1982-11-25,
7499,1982-11-26,
7500,1982-11-27,
7501,1982-11-28,
7502,1982-11-29,
7503,1982-11-30,
7504,1982-12-01,
7505,1982-12-02,
7506,1982-12-03,
7507,1982-12-04,
7508,1982-12-05,
7509,1982-12-06,
7510,1982-12-07,
7511,1982-12-08,
7512,1982-12-09,
7513,1982-12-10,
7514,1982-12-11,
7515,1982-12-12,
7516,1982-12-13,
7517,1982-12-14,
7518,1982-12-15,
7519,1982-12-16,
7520,1982-12-17,
7521,1982-12-18,
7522,1982-12-19,
7523,1982-12-20,
7524,1982-12-21,
7525,1982-12-22,
7526,1982-12-23,
7527,1982-12-24,
7528,1982-12-25,
7529,1982-12-26,
7530,1982-12-27,
7531,1982-12-28,
7532,1982-12-29,
7533,1982-12-30,
7534,1982-12-31,
