datum,temperatura,leto,mesec
2017-12-01,2.2,2017,12
2017-12-02,0.6,2017,12
2017-12-03,0.1,2017,12
2017-12-04,-0.9,2017,12
2017-12-05,0.9,2017,12
2017-12-06,1.6,2017,12
2017-12-07,3.1,2017,12
2017-12-08,5.9,2017,12
2017-12-09,-0.6,2017,12
2017-12-10,-0.9,2017,12
2017-12-11,6.8,2017,12
2017-12-12,10.2,2017,12
2017-12-13,2.9,2017,12
2017-12-14,5.5,2017,12
2017-12-15,6.5,2017,12
2017-12-16,2.0,2017,12
2017-12-17,0.6,2017,12
2017-12-18,-1.2,2017,12
2017-12-19,-1.7,2017,12
2017-12-20,-0.8,2017,12
2017-12-21,0.1,2017,12
2017-12-22,1.0,2017,12
2017-12-23,1.7,2017,12
2017-12-24,3.9,2017,12
2017-12-25,3.6,2017,12
2017-12-26,5.8,2017,12
2017-12-27,6.7,2017,12
2017-12-28,5.0,2017,12
2017-12-29,1.7,2017,12
2017-12-30,1.8,2017,12
2017-12-31,5.7,2017,12
