datum,temperatura,leto,mesec
2006-11-01,13.7,2006,11
2006-11-02,8.8,2006,11
2006-11-03,6.2,2006,11
2006-11-04,6.8,2006,11
2006-11-05,9.3,2006,11
2006-11-06,10.3,2006,11
2006-11-07,11.5,2006,11
2006-11-08,12.1,2006,11
2006-11-09,13.5,2006,11
2006-11-10,11.7,2006,11
2006-11-11,9.2,2006,11
2006-11-12,11.3,2006,11
2006-11-13,10.2,2006,11
2006-11-14,12.3,2006,11
2006-11-15,12.8,2006,11
2006-11-16,14.0,2006,11
2006-11-17,15.0,2006,11
2006-11-18,15.3,2006,11
2006-11-19,13.8,2006,11
2006-11-20,12.6,2006,11
2006-11-21,11.3,2006,11
2006-11-22,10.7,2006,11
2006-11-23,10.3,2006,11
2006-11-24,11.8,2006,11
2006-11-25,14.2,2006,11
2006-11-26,14.1,2006,11
2006-11-27,13.4,2006,11
2006-11-28,11.6,2006,11
2006-11-29,11.0,2006,11
2006-11-30,11.5,2006,11
