datum,temperatura,leto,mesec
2012-04-01,6.9,2012,4
2012-04-02,7.3,2012,4
2012-04-03,9.1,2012,4
2012-04-04,12.0,2012,4
2012-04-05,12.8,2012,4
2012-04-06,11.5,2012,4
2012-04-07,10.9,2012,4
2012-04-08,4.7,2012,4
2012-04-09,4.0,2012,4
2012-04-10,6.4,2012,4
2012-04-11,7.8,2012,4
2012-04-12,9.5,2012,4
2012-04-13,8.5,2012,4
2012-04-14,9.6,2012,4
2012-04-15,10.2,2012,4
2012-04-16,9.7,2012,4
2012-04-17,7.7,2012,4
2012-04-18,8.3,2012,4
2012-04-19,9.3,2012,4
2012-04-20,9.0,2012,4
2012-04-21,9.4,2012,4
2012-04-22,9.0,2012,4
2012-04-23,8.6,2012,4
2012-04-24,8.7,2012,4
2012-04-25,10.4,2012,4
2012-04-26,12.1,2012,4
2012-04-27,15.4,2012,4
2012-04-28,18.7,2012,4
2012-04-29,19.5,2012,4
2012-04-30,18.0,2012,4
