datum,temperatura,leto,mesec
2009-03-01,5.9,2009,3
2009-03-02,5.0,2009,3
2009-03-03,6.3,2009,3
2009-03-04,7.3,2009,3
2009-03-05,6.7,2009,3
2009-03-06,5.6,2009,3
2009-03-07,5.5,2009,3
2009-03-08,6.7,2009,3
2009-03-09,4.4,2009,3
2009-03-10,4.9,2009,3
2009-03-11,6.0,2009,3
2009-03-12,5.1,2009,3
2009-03-13,6.2,2009,3
2009-03-14,6.7,2009,3
2009-03-15,7.4,2009,3
2009-03-16,7.2,2009,3
2009-03-17,6.5,2009,3
2009-03-18,6.6,2009,3
2009-03-19,2.7,2009,3
2009-03-20,1.2,2009,3
2009-03-21,2.1,2009,3
2009-03-22,4.1,2009,3
2009-03-23,7.3,2009,3
2009-03-24,4.9,2009,3
2009-03-25,2.9,2009,3
2009-03-26,4.2,2009,3
2009-03-27,7.3,2009,3
2009-03-28,10.2,2009,3
2009-03-29,9.0,2009,3
2009-03-30,7.0,2009,3
2009-03-31,7.6,2009,3
