datum,temperatura,leto,mesec
2009-01-01,-4.0,2009,1
2009-01-02,-3.5,2009,1
2009-01-03,-3.1,2009,1
2009-01-04,-5.8,2009,1
2009-01-05,-4.4,2009,1
2009-01-06,-4.3,2009,1
2009-01-07,-4.5,2009,1
2009-01-08,-4.3,2009,1
2009-01-09,-6.1,2009,1
2009-01-10,-7.3,2009,1
2009-01-11,-8.3,2009,1
2009-01-12,-8.7,2009,1
2009-01-13,-6.2,2009,1
2009-01-14,-4.8,2009,1
2009-01-15,-1.4,2009,1
2009-01-16,-2.8,2009,1
2009-01-17,-1.3,2009,1
2009-01-18,-0.9,2009,1
2009-01-19,2.4,2009,1
2009-01-20,6.6,2009,1
2009-01-21,2.9,2009,1
2009-01-22,2.2,2009,1
2009-01-23,1.7,2009,1
2009-01-24,2.2,2009,1
2009-01-25,2.1,2009,1
2009-01-26,2.4,2009,1
2009-01-27,1.0,2009,1
2009-01-28,1.5,2009,1
2009-01-29,1.4,2009,1
2009-01-30,0.0,2009,1
2009-01-31,-1.4,2009,1
