datum,temperatura,leto,mesec
2008-04-01,12.3,2008,4
2008-04-02,9.9,2008,4
2008-04-03,9.1,2008,4
2008-04-04,10.3,2008,4
2008-04-05,8.8,2008,4
2008-04-06,8.5,2008,4
2008-04-07,11.1,2008,4
2008-04-08,8.1,2008,4
2008-04-09,10.8,2008,4
2008-04-10,11.5,2008,4
2008-04-11,12.9,2008,4
2008-04-12,12.4,2008,4
2008-04-13,10.4,2008,4
2008-04-14,10.4,2008,4
2008-04-15,9.3,2008,4
2008-04-16,9.7,2008,4
2008-04-17,10.3,2008,4
2008-04-18,11.2,2008,4
2008-04-19,12.8,2008,4
2008-04-20,12.7,2008,4
2008-04-21,12.2,2008,4
2008-04-22,10.3,2008,4
2008-04-23,11.2,2008,4
2008-04-24,12.5,2008,4
2008-04-25,11.9,2008,4
2008-04-26,12.4,2008,4
2008-04-27,13.6,2008,4
2008-04-28,12.9,2008,4
2008-04-29,10.3,2008,4
2008-04-30,12.8,2008,4
