datum,temperatura,leto,mesec
2022-11-01,15.5,2022,11
2022-11-02,14.6,2022,11
2022-11-03,13.2,2022,11
2022-11-04,13.3,2022,11
2022-11-05,9.8,2022,11
2022-11-06,9.1,2022,11
2022-11-07,9.2,2022,11
2022-11-08,10.2,2022,11
2022-11-09,12.0,2022,11
2022-11-10,11.3,2022,11
2022-11-11,9.6,2022,11
2022-11-12,9.7,2022,11
2022-11-13,8.8,2022,11
2022-11-14,8.7,2022,11
2022-11-15,10.3,2022,11
2022-11-16,9.8,2022,11
2022-11-17,9.4,2022,11
2022-11-18,9.1,2022,11
2022-11-19,4.8,2022,11
2022-11-20,3.1,2022,11
2022-11-21,3.4,2022,11
2022-11-22,3.1,2022,11
2022-11-23,3.6,2022,11
2022-11-24,5.3,2022,11
2022-11-25,4.3,2022,11
2022-11-26,4.4,2022,11
2022-11-27,3.8,2022,11
2022-11-28,3.5,2022,11
2022-11-29,3.3,2022,11
2022-11-30,2.8,2022,11
