datum,temperatura,leto,mesec
2000-12-01,4.1,2000,12
2000-12-02,4.9,2000,12
2000-12-03,8.5,2000,12
2000-12-04,8.4,2000,12
2000-12-05,7.1,2000,12
2000-12-06,6.1,2000,12
2000-12-07,6.8,2000,12
2000-12-08,9.3,2000,12
2000-12-09,10.7,2000,12
2000-12-10,9.3,2000,12
2000-12-11,7.6,2000,12
2000-12-12,6.3,2000,12
2000-12-13,5.9,2000,12
2000-12-14,5.9,2000,12
2000-12-15,5.6,2000,12
2000-12-16,1.9,2000,12
2000-12-17,0.7,2000,12
2000-12-18,0.4,2000,12
2000-12-19,-0.3,2000,12
2000-12-20,-0.0,2000,12
2000-12-21,-3.1,2000,12
2000-12-22,-4.5,2000,12
2000-12-23,-4.0,2000,12
2000-12-24,-3.1,2000,12
2000-12-25,2.4,2000,12
2000-12-26,4.3,2000,12
2000-12-27,4.1,2000,12
2000-12-28,2.6,2000,12
2000-12-29,1.8,2000,12
2000-12-30,0.5,2000,12
2000-12-31,-6.2,2000,12
